Product Name,Product Quantity,Product Manufacturing Date,Product Expiry Date,Product RPU
Apple,2,2023-12-01,2023-12-31,145.0
Tomato 1 Kg,6,2023-11-09,2023-12-14,31.0
Tata Tea Gold,90,2023-11-15,2024-03-29,285.0
"Sprite Soft Drink, 300 ml Can",20,2023-11-29,2023-12-31,40.0
"Amul Pasteurised Butter, 100 g Carton",18,2023-11-25,2024-02-21,58.0
Amul Cheese Slices,31,2023-11-29,2024-03-15,410.0
"Kelloggs Corn Flakes With Real Almond & Honey, 300g + 45g",15,2023-11-02,2023-12-28,189.0
"Kelloggs Crunchy Granola Almonds & Cranberries, 460 g",24,2023-11-11,2024-03-16,350.0
Tata Sampann 100% Pure Premium Cashews 500 g Pouch,20,2023-12-15,2023-12-28,561.0
"Strawberry, 200 g",21,2023-12-01,2024-02-29,89.0
Onion 1 kg,16,2023-11-25,2023-12-08,59.0
"Happilo Premium Roasted & Salted Californian Pistachios, 500 g",33,2023-10-19,2024-01-24,925.0
"Cadbury Bournville Rich Cocoa 70% Dark Chocolate Bar, 3 x 80 g Multipack",35,2023-11-24,2024-01-16,296.0
"Cadbury Dairy Milk Silk Chocolate Bar, 150 g",40,2023-11-01,2024-02-22,175.0
"Palmolive Hand Wash - Orchid & Milk, Wash Away Germs, pH Balanced Formula, 750 ml",50,2023-12-01,2023-12-29,159.0
"Fiama Relax Hand Wash - Lavender & Ylang Ylang, 99.9% Germ Protection, 350 ml Pouch",59,2023-12-01,2024-02-29,72.0
"Surf Excel Matic Detergent Powder - Top Load, 6 kg",30,2023-12-01,2024-03-13,1155.0
"Vim Extra Dishwash Bar - Anti Smell With Pudina Extract , Clears Oil, Grease & Tough Stains, 200 g (Pack of 5)",29,2023-12-01,2024-02-22,125.0
